Rank,RelevanceScore,SuggestedSection,Title,Authors,Year,Venue,Citations,Source,Cluster,DOI,URL,Abstract
1,42.5,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation",Few-shot deployment of pretrained MRI transformers in brain imaging tasks.,Mengyu Li; Guoyao Shen; Chad W Farris; Xin Zhang,2026,Frontiers in artificial intelligence,0,PubMed,masked_image_modeling_medical,10.3389/frai.2026.1771088,https://pubmed.ncbi.nlm.nih.gov/41994558/,"Transformer-based deep learning has shown great potential in medical imaging, but its real-world applicability remains limited due to the scarcity of annotated data. This study aims to develop a practical framework for the few-shot deployment of pretrained MRI transformers across diverse brain imaging tasks. We employ a Masked Autoencoder (MAE) pretraining strategy on a large-scale, multi-cohort b..."
2,42.5,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation",Automatic medical imaging segmentation via self-supervising large-scale convolutional neural networks.,Yuheng Li; Jacob F Wynne; Yizhou Wu; Richard L J Qiu,2025,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,0,PubMed,masked_image_modeling_medical,10.1016/j.radonc.2025.110711,https://pubmed.ncbi.nlm.nih.gov/39798701/,"This study aims to develop a robust, large-scale deep learning model for medical image segmentation, leveraging self-supervised learning to overcome the limitations of supervised learning and data variability in clinical settings. We curated a substantial multi-center CT dataset for self-supervised pre-training using masked image modeling with sparse submanifold convolution. We designed a series o..."
3,41.5,"RW:ContinualLearning, RW:SelfSupervisedLearning, RW:FederatedLearning",Foundation models in radiology: a primer for pediatric radiologists.,Amit Gupta; Salvatore Claudio Fanni; Diana Veiga-Canuto; Alessia Guarnera,2026,Pediatric radiology,0,PubMed,core_topic,10.1007/s00247-026-06544-y,https://pubmed.ncbi.nlm.nih.gov/41677830/,"Foundation models (FMs) are large deep learning models pre-trained on vast heterogeneous datasets through self-supervised learning that are adaptable to diverse downstream tasks with minimal fine-tuning. In pediatric radiology, where data scarcity, rare pathologies, and anatomical variability present significant hurdles, FMs offer a robust mechanism for broad feature learning. Complementary to tra..."
4,41.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Hi-End-MAE: Hierarchical encoder-driven masked autoencoders are stronger vision learners for medical image segmentation.,Fenghe Tang; Qingsong Yao; Wenxin Ma; Chenxu Wu,2026,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2025.103770,https://pubmed.ncbi.nlm.nih.gov/40986945/,"Medical image segmentation remains a formidable challenge due to the label scarcity. Pre-training Vision Transformer (ViT) through masked image modeling (MIM) on large-scale unlabeled medical datasets presents a promising solution, providing both computational efficiency and model generalization for various downstream tasks. However, current ViT-based MIM pre-training frameworks predominantly emph..."
5,41.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Segment Like A Doctor: Learning reliable clinical thinking and experience for pancreas and pancreatic cancer segmentation.,Liwen Zou; Yingying Cao; Ziwei Nie; Liang Mao,2025,Medical image analysis,0,PubMed,masked_image_modeling_medical,10.1016/j.media.2025.103539,https://pubmed.ncbi.nlm.nih.gov/40112510/,"Pancreatic cancer is a lethal invasive tumor with one of the worst prognosis. Accurate and reliable segmentation for pancreas and pancreatic cancer on computerized tomography (CT) images is vital in clinical diagnosis and treatment. Although certain deep learning-based techniques have been tentatively applied to this task, current performance of pancreatic cancer segmentation is far from meeting t..."
6,40.5,"RW:SelfSupervisedLearning, RW:Architecture",Three dimensional segmentation of abdominal arteries and veins using vision transformers and domain adaptation.,Panpan Wu; Yurou Xu; Ziping Zhao; Zhangda Liu,2025,Physics in medicine and biology,0,PubMed,masked_image_modeling_medical,10.1088/1361-6560/ae2c3b,https://pubmed.ncbi.nlm.nih.gov/41473940/,"Accurate segmentation of abdominal three-dimensional (3D) vascular structures from computed tomography (CT) scans is crucial for clinical applications yet remains challenging due to dependency on large annotated datasets through effective pretraining and poor generalization via cross-domain feature alignment. In this paper, we proposes a novel transformer-based framework based on masked autoencode..."
7,40.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",SSL-DA: Semi-and Self-Supervised Learning with Dual Attention for Echocardiogram Segmentation.,Lin Lv; Xing Han; Zhengxiang Sun; Zhaoguang Li,2026,Journal of imaging informatics in medicine,0,PubMed,masked_image_modeling_medical,10.1007/s10278-025-01532-4,https://pubmed.ncbi.nlm.nih.gov/40355692/,"Echocardiogram analysis plays a crucial role in assessing and diagnosing cardiac function, providing essential data to support medical diagnoses of heart disease. A key task, accurately identifying and segmenting the left ventricle (LV) in echocardiograms, remains challenging and labor-intensive. Current automated cardiac segmentation methods often lack the necessary accuracy and reproducibility, ..."
8,39.5,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation, RW:Dataset",Masked Deformation Modeling for Volumetric Brain MRI Self-Supervised Pre-Training.,Junyan Lyu; Perry F Bartlett; Fatima A Nasrallah; Xiaoying Tang,2025,IEEE transactions on medical imaging,0,PubMed,masked_image_modeling_medical,10.1109/TMI.2024.3510922,https://pubmed.ncbi.nlm.nih.gov/40030579/,"Self-supervised learning (SSL) has been proposed to alleviate neural networks' reliance on annotated data and to improve downstream tasks' performance, which has obtained substantial success in several volumetric medical image segmentation tasks. However, most existing approaches are designed and pre-trained on CT or MRI datasets of non-brain organs. The lack of brain prior limits those methods' p..."
9,39.5,RW:SelfSupervisedLearning,Beyond Independent Frames: Latent Attention Masked Autoencoders for Multi-View Echocardiography,Simon Böhi; Irene Cannistraci; Sergio Muñoz Gonzalez; Moritz Vandenhirtz,2026,arXiv,0,arXiv,"sparse_masked_cnn_pretraining, knowledge_distillation_medical_segmentation, federated_ssl_medical_forgetting",N/A,http://arxiv.org/abs/2604.15096v1,"Echocardiography is a widely used modality for cardiac assessment due to its non-invasive and cost-effective nature, but the sparse and heterogeneous spatiotemporal views of the heart pose distinct challenges. Existing masked autoencoder (MAE) approaches typically process images or short clips independently, failing to capture the inherent multi-view structure required for coherent cardiac represe..."
10,39.0,"RW:ContinualLearning, RW:KnowledgeDistillation, RW:MedicalSegmentation",MOSInversion: Knowledge distillation-based incremental learning in organ segmentation using DeepInversion.,Jihyeon Kim; Gyeongmin Lee; Seung Yeon Shin; Soopil Kim,2025,Computers in biology and medicine,0,PubMed,masked_image_modeling_medical,10.1016/j.compbiomed.2025.111272,https://pubmed.ncbi.nlm.nih.gov/41218273/,"Despite recent advancements in multi-organ segmentation (MOS) of medical images, existing models are limited in terms of extending their capability to unseen classes. Incremental learning has been proposed to enable models to learn new classes progressively, possibly using multiple datasets from different institutions. In this setting, models easily experience performance degradation on previously..."
11,39.0,"RW:ContinualLearning, RW:SelfSupervisedLearning, RW:MedicalSegmentation, RW:FederatedLearning",Federated Cross-Incremental Self-Supervised Learning for Medical Image Segmentation.,Fan Zhang; Huiying Liu; Qing Cai; Chun-Mei Feng,2025,IEEE transactions on neural networks and learning systems,0,PubMed,masked_image_modeling_medical,10.1109/TNNLS.2024.3469962,https://pubmed.ncbi.nlm.nih.gov/39401108/,"Federated cross learning has shown impressive performance in medical image segmentation. However, it encounters the catastrophic forgetting issue caused by data heterogeneity across different clients and is particularly pronounced when simultaneously facing pixelwise label deficiency problem. In this article, we propose a novel federated cross-incremental self-supervised learning method, coined Fe..."
12,39.0,"RW:SelfSupervisedLearning, RW:MedicalSegmentation",Improving Representation of High-frequency Components for Medical Visual Foundation Models.,Yuetan Chu; Yilan Zhang; Zhongyi Han; Changchun Yang,2025,IEEE transactions on medical imaging,0,PubMed,masked_image_modeling_medical,10.1109/TMI.2025.3559402,https://pubmed.ncbi.nlm.nih.gov/40202879/,"Foundation models have attracted significant attention for their impressive generalizability across diverse downstream tasks. However, they are demonstrated to exhibit great limitations in representing high-frequency components and fine-grained details. In many medical imaging tasks, precise representation of such information is crucial due to the inherently intricate anatomical structures, sub-vi..."
13,39.0,"RW:SelfSupervisedLearning, RW:Architecture",Three-dimensional semi-supervised lumbar vertebrae region of interest segmentation based on MAE pre-training.,Yang Liu; Jian Chen; Jinjin Hai; Kai Qiao,2025,Journal of X-ray science and technology,0,PubMed,masked_image_modeling_medical,10.1177/08953996241301685,https://pubmed.ncbi.nlm.nih.gov/39973800/,"The annotation of the regions of interest (ROI) of lumbar vertebrae by radiologists for bone density assessment is a tedious and time-intensive task. However, deep learning (DL) methods for image segmentation has the potential to substitute manual annotations which can significantly improve the efficiency of clinical diagnostics. The paper proposes a semi-supervised three-dimensional (3D) segmenta..."
14,39.0,"RW:SelfSupervisedLearning, RW:Architecture, RW:MedicalSegmentation",Text-guided multimodal deep learning in magnetic resonance imaging for spinal structures segmentation and lumbar abnormalities identification.,Jingxin Liu; Xinran Zhu; Zhangzhen Shi; Donghong An,2025,Quantitative imaging in medicine and surgery,0,PubMed,unet_self_supervised_medical,10.21037/qims-2025-635,https://pubmed.ncbi.nlm.nih.gov/41081178/,"In the domain of recent lumbar magnetic resonance imaging (MRI) analysis, the limitations of unimodal deep learning (DL) methods for medical imaging have gradually been revealed in that they remain insufficient to model the latent relationships within the textual semantics of category terms. These terms are used to define the research targets in medical imaging analysis tasks. Effective modeling o..."
