Title,Authors,Year,Venue,Citations,Source,Keywords Found,URL,Abstract
Two-Stage Self-Supervised Contrastive Learning Aided Transformer for Real-Time Medical Image Segmentation.,Abdul Qayyum; Imran Razzak; Moona Mazher; Tariq Khan; Weiping Ding; Steven Niederer,2026,IEEE journal of biomedical and health informatics,0,PubMed,"medical image segmentation, self-supervised",https://pubmed.ncbi.nlm.nih.gov/38090821/,"The availability of large, high-quality annotated datasets in the medical domain poses a substantial challenge in segmentation tasks. To mitigate the reliance on annotated training data, self-supervised pre-training strategies have emerged, particularly employing contrastive learning methods on dense pixel-level representations. In this work, we proposed to capitalize on intrinsic anatomical similarities within medical image data and develop a semantic segmentation framework through a self-super..."
A General Global and Local Pre-Training Framework for 3D Medical Image Segmentation.,Jianguo Ju; Ziyu Guan; Hao Lei; Dandan Qiu; Haoming Zhang; Long Chen; Fei Xie; Wei Zhao,2026,IEEE journal of biomedical and health informatics,0,PubMed,"medical image segmentation, self-supervised",https://pubmed.ncbi.nlm.nih.gov/38051609/,"Accurate target segmentation from computed tomography (CT) scans is crucial for surgical robots to perform clinical surgeries successfully. However, the lack of medical image data and annotations has been the biggest obstacle to learning robust medical image segmentation models. Self-supervised learning can effectively address this problem by providing a strategy to pre-train a model with unlabeled data, and then fine-tune downstream tasks with limited labeled data. Existing self-supervised meth..."
Technical Note: Neural Network Architectures for Self-Supervised Body Part Regression Models with Automated Localized Segmentation Application.,Michael Fei; Alan B McMillan,2025,Journal of imaging informatics in medicine,0,PubMed,self-supervised,https://pubmed.ncbi.nlm.nih.gov/39538050/,"The advancement of medical image deep learning necessitates tools that can accurately identify body regions from whole-body scans to serve as an essential pre-processing step for downstream tasks. Typically, these deep learning models rely on labeled data and supervised learning, which is labor-intensive. However, the emergence of self-supervised learning is revolutionizing the field by eliminating the need for labels. The purpose of this study was to compare neural network architectures of self..."
Federated Cross-Incremental Self-Supervised Learning for Medical Image Segmentation.,Fan Zhang; Huiying Liu; Qing Cai; Chun-Mei Feng; Binglu Wang; Shanshan Wang; Junyu Dong; David Zhang,2025,IEEE transactions on neural networks and learning systems,0,PubMed,"medical image segmentation, self-supervised",https://pubmed.ncbi.nlm.nih.gov/39401108/,"Federated cross learning has shown impressive performance in medical image segmentation. However, it encounters the catastrophic forgetting issue caused by data heterogeneity across different clients and is particularly pronounced when simultaneously facing pixelwise label deficiency problem. In this article, we propose a novel federated cross-incremental self-supervised learning method, coined FedCSL, which not only can enable any client in the federation incrementally yet effectively learn fro..."
Masked autoencoders with generalizable self-distillation for skin lesion segmentation.,Yichen Zhi; Hongxia Bie; Jiali Wang; Lihan Ren,2025,Medical & biological engineering & computing,0,PubMed,self-supervised,https://pubmed.ncbi.nlm.nih.gov/38653880/,"In the field of skin lesion image segmentation, accurate identification and partitioning of diseased regions is of vital importance for in-depth analysis of skin cancer. Self-supervised learning, i.e., MAE, has emerged as a potent force in the medical imaging domain, which autonomously learns and extracts latent features from unlabeled data, thereby yielding pre-trained models that greatly assist downstream tasks. To encourage pre-trained models to more comprehensively learn the global structura..."
Self-supervised learning improves robustness of deep learning lung tumor segmentation models to CT imaging differences.,Jue Jiang; Aneesh Rangnekar; Harini Veeraraghavan,2025,Medical physics,0,PubMed,self-supervised,https://pubmed.ncbi.nlm.nih.gov/39636237/,"Self-supervised learning (SSL) is an approach to extract useful feature representations from unlabeled data, and enable fine-tuning on downstream tasks with limited labeled examples. Self-pretraining is a SSL approach that uses curated downstream task dataset for both pretraining and fine-tuning. Availability of large, diverse, and uncurated public medical image sets presents the opportunity to potentially create foundation models by applying SSL in the ""wild"" that are robust to imaging variatio..."
Multi-scale graph harmonies: Unleashing U-Net's potential for medical image segmentation through contrastive learning.,Jie Wu; Jiquan Ma; Heran Xi; Jinbao Li; Jinghua Zhu,2025,Neural networks : the official journal of the International Neural Network Society,0,PubMed,"medical image segmentation, self-supervised",https://pubmed.ncbi.nlm.nih.gov/39608151/,"Medical image segmentation is essential for accurately representing tissues and organs in scans, improving diagnosis, guiding treatment, enabling quantitative analysis, and advancing AI-assisted healthcare. Organs and lesion areas in medical images have complex geometries and spatial relationships. Due to variations in the size and location of lesion areas, automatic segmentation faces significant challenges. While Convolutional Neural Networks (CNNs) and Transformers have proven effective in se..."
Self-supervised segmentation and characterization of fiber bundles in anatomic tracing data.,Vaanathi Sundaresan; Julia F Lehman; Chiara Maffei; Suzanne N Haber; Anastasia Yendiki,2025,bioRxiv : the preprint server for biology,0,PubMed,self-supervised,https://pubmed.ncbi.nlm.nih.gov/37873366/,"Anatomic tracing is the gold standard tool for delineating brain connections and for validating more recently developed imaging approaches such as diffusion MRI tractography. A key step in the analysis of data from tracer experiments is the careful, manual charting of fiber trajectories on histological sections. This is a very time-consuming process, which limits the amount of annotated tracer data that are available for validation studies. Thus, there is a need to accelerate this process by dev..."
HEDN: multi-oriented hierarchical extraction and dual-frequency decoupling network for 3D medical image segmentation.,Yu Wang; Guoheng Huang; Zeng Lu; Ying Wang; Xuhang Chen; Xiaochen Yuan; Yan Li; Jieni Liu; Yingping Huang,2025,Medical & biological engineering & computing,0,PubMed,"medical image segmentation, self-supervised",https://pubmed.ncbi.nlm.nih.gov/39316283/,"Previous 3D encoder-decoder segmentation architectures struggled with fine-grained feature decomposition, resulting in unclear feature hierarchies when fused across layers. Furthermore, the blurred nature of contour boundaries in medical imaging limits the focus on high-frequency contour features. To address these challenges, we propose a Multi-oriented Hierarchical Extraction and Dual-frequency Decoupling Network (HEDN), which consists of three modules: Encoder-Decoder Module (E-DM), Multi-orie..."
DINOv2 Based Self Supervised Learning for Few Shot Medical Image Segmentation,Lev Ayzenberg; Raja Giryes; H. Greenspan,2024,IEEE International Symposium on Biomedical Imaging,16,Semantic Scholar,"medical image segmentation, self-supervised",https://www.semanticscholar.org/paper/929795fa0df3339fceb0dc29584cb1ca695044e8,"Deep learning models have emerged as the cornerstone of medical image segmentation, but their efficacy hinges on the availability of extensive manually labeled datasets and their adaptability to unforeseen categories remains a challenge. Few-shot segmentation (FSS) offers a promising solution by endowing models with the capacity to learn novel classes from limited labeled examples. A leading method for FSS is ALPNet, which compares features between the query image and the few available support s..."
Self-Supervised Medical Image Segmentation Using Deep Reinforced Adaptive Masking,Zhenghua Xu; Yunxin Liu; Gang Xu; Thomas Lukasiewicz,2024,IEEE Transactions on Medical Imaging,14,Semantic Scholar,"medical image segmentation, self-supervised",https://www.semanticscholar.org/paper/eac717db1cdd39649cd7f07309a7587cbeebfad2,"Self-supervised learning aims to learn transferable representations from unlabeled data for downstream tasks. Inspired by masked language modeling in natural language processing, masked image modeling (MIM) has achieved certain success in the field of computer vision, but its effectiveness in medical images remains unsatisfactory. This is mainly due to the high redundancy and small discriminative regions in medical images compared to natural images. Therefore, this paper proposes an adaptive har..."
Federated Cross-Incremental Self-Supervised Learning for Medical Image Segmentation,Fan Zhang; Huiying Liu; Qing Cai; Chun-Mei Feng; Binglu Wang; Shanshan Wang; Junyu Dong; David Zhang,2024,IEEE Transactions on Neural Networks and Learning Systems,13,Semantic Scholar,"medical image segmentation, self-supervised",https://www.semanticscholar.org/paper/cb0af2a5de871329b08762aad522d536dc9d8a1e,"Federated cross learning has shown impressive performance in medical image segmentation. However, it encounters the catastrophic forgetting issue caused by data heterogeneity across different clients and is particularly pronounced when simultaneously facing pixelwise label deficiency problem. In this article, we propose a novel federated cross-incremental self-supervised learning method, coined FedCSL, which not only can enable any client in the federation incrementally yet effectively learn fro..."
Self-Supervised Alignment Learning For Medical Image Segmentation,Haofeng Li; Yiming Ouyang; Xiang Wan,2024,IEEE International Symposium on Biomedical Imaging,10,Semantic Scholar,"medical image segmentation, self-supervised",https://www.semanticscholar.org/paper/3b9b19f1f919fab290152c5616178fe1a01fc5ac,"Recently, self-supervised learning (SSL) methods have been used in pre-training the segmentation models for 2D and 3D medical images. Most of these methods are based on reconstruction, contrastive learning and consistency regularization. However, the spatial correspondence of 2D slices from a 3D medical image has not been fully exploited. In this paper, we propose a novel self-supervised alignment learning framework to pre-train the neural network for medical image segmentation. The proposed fra..."
GMIM: Self-supervised pre-training for 3D medical image segmentation with adaptive and hierarchical masked image modeling,Liangce Qi; Zhengang Jiang; Weili Shi; Feng Qu; Guanyuan Feng,2024,Comput. Biol. Medicine,9,Semantic Scholar,"medical image segmentation, self-supervised",https://www.semanticscholar.org/paper/13321291305a3d4e7c5d28c9acb04f9a0a247002,"Self-supervised pre-training and fully supervised fine-tuning paradigms have received much attention to solve the data annotation problem in deep learning fields. Compared with traditional pre-training on large natural image datasets, medical self-supervised learning methods learn rich representations derived from unlabeled data itself thus avoiding the distribution shift between different image domains. However, nowadays state-of-the-art medical pre-training methods were specifically designed f..."
Overcoming Dimensional Collapse in Self-Supervised Contrastive Learning for Medical Image Segmentation,Jamshid Hassanpour; V. Srivastav; Didier Mutter; N. Padoy,2024,IEEE International Symposium on Biomedical Imaging,6,Semantic Scholar,"medical image segmentation, self-supervised",https://www.semanticscholar.org/paper/9978bea6e54628725a7b451ea0d38a5dad344df8,"Self-supervised learning (SSL) approaches have achieved great success when the amount of labeled data is limited. Within SSL, models learn robust feature representations by solving pretext tasks. One such pretext task is contrastive learning, which involves forming pairs of similar and dissimilar input samples, guiding the model to distinguish between them. In this work, we investigate the application of contrastive learning to the domain of medical image analysis. Our findings reveal that MoCo ..."
